Feature ID,kingdom,phylum,class,order,family,genus,species
b124b8876ceef65fb4fd24c07c21fc59,k__Bacteria,,,,,,
3c89f96c94f868778c1fd8913a9f3b86,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__ochracea
b89e1eff193fa4876204ba0f67a85942,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,
b5794237e9478738ba8641c17425f05b,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiaceae, g__Rhodococcus, s__fascians
090284d456cfd1e2d099f439deaa54e2,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae, g__Lysinibacillus, s__massiliensis
7d08301e5abd50ff4d8fbade06ecce8c,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,,
065ef1bd560523ab72583580fd6fa3ac,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__, g__, s__
99a77a4071fb2a7b68d53a0354a77b01,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter,
dead357a72a197ae7fc49d413632caf0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rubellimicrobium, s__
f72ca6991e72c1409009863052a56e35,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Paracoccus,
f1916baff83bf4bcef2587f5117094f1,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
941fcb5e7bfd6b75021817f923899a05,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__
8db8e3c0ad985610cdc1c5dd159926ce,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Christensenellaceae, g__, s__
5e2acdb4db0932b2d3cfe4335f92d715,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__Patulibacteraceae, g__Patulibacter, s__
1cb44321d8048aa61181f617f67b0265,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__
a0836c75ca48b52708cd23139012fc32,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__
4d61031b491c5eee66e086f523aed93b,k__Bacteria,,,,,,
d7f5a43aeb24de0b147b71c68d6d1b5d,k__Bacteria, p__Actinobacteria, c__Rubrobacteria, o__Rubrobacterales, f__Rubrobacteraceae, g__Rubrobacter, s__
4288b97ec4bbdab6b61ef30685523994,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,,
ef2b2b465c72aea5b941bc11be95c7d6,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__, s__
4c8daca523d80b251890c697bbb3cc8d,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae], g__Candidatus Xiphinematobacter, s__
e7f7883196f047b1cda8fe66c35add8e,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae,,
ae049e26996cc0f997003f893296e520,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae, g__Pedobacter, s__
f62028f259ccbb2490cb8ff65d76bc5f,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__, g__, s__
b3d49eb8bf0136525426378fef69e1ca,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rubellimicrobium, s__
0c9364e54d50b4354a89c0be94168339,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae, g__Rhizobium, s__
f16cdc53f81e4d39b8caa0da9a03c0d4,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Leuconostocaceae, g__Leuconostoc, s__mesenteroides
b8b8b0ad217ee4d08129582fa5f585b3,k__Bacteria, p__Actinobacteria, c__Thermoleophilia, o__Solirubrobacterales, f__, g__, s__
7807012d13433ccccc2486bbc8c68179,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__, g__, s__
fea7c1e32fef3e92a7c97ca0b7d5e1be,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__, g__, s__
31fa6d84b0f75e909497ff0d1743b53d,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Erythrobacteraceae, g__, s__
2c6d00ece8d1669a716d63ec180540a2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__wittichii
